nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0225074	Frantisek Dibarbora	1916	1987	actor	tt0250680,tt0239994,tt0243996,tt0092417
nm0225233	Billy DiCicco	\N	\N	editor,editorial_department,director	tt0175059,tt0118436,tt5455614
nm0227905	Colleen Dion	1964	\N	actress,stunts	tt0057731,tt0092325,tt0043229,tt0091445
nm0232281	Michel Donato	\N	\N	composer,music_department	tt0226190,tt0131689,tt0099540,tt0102993
nm0233098	Natalia Dontcheva	\N	\N	actress	tt9569618,tt0497991,tt1633248,tt1429429
nm0233137	Steve Doocy	1956	\N	producer,writer,actor	tt0985044,tt12932534,tt0185065
nm0234380	Emília Doseková	1937	2021	actress	tt0175784,tt0243213,tt0175803,tt0479622
nm0234502	Fyodor Dostoevsky	1821	1881	writer,soundtrack	tt9680386,tt3195152,tt14091042,tt1825157
nm0236142	Vanessa Downing	1958	\N	actress,miscellaneous	tt0096592,tt0094481,tt0129666,tt4291644
nm0236180	Hugh Downs	1921	2020	actor,miscellaneous,writer	tt0054528,tt0165042,tt0197146,tt0207913
nm0238478	Michel Drucker	1942	\N	producer,writer,actor	tt0217191,tt4304220,tt0461733,tt6467418
nm0239982	Jean Ducret	\N	\N	actor	tt0002833,tt0002648,tt0455106,tt0241586
nm0240983	Andrea Dugoni	\N	\N	actor	tt4575636,tt3502172,tt13375076,tt0195335
nm0242882	Max Martini	\N	\N	actor,producer,director	tt1663662,tt4172430,tt1535109,tt0460690
nm0243380	Anthony Dupray	1974	\N	actor	tt0172057,tt0171978,tt1639081,tt0372641
nm0243455	Karina Duprez	\N	\N	director,actress,location_management	tt0211768,tt1091916,tt0245615,tt0211773
nm0243994	Vlado Durdík	1949	2003	actor	tt0243678,tt9561966,tt0103378,tt0243464
nm0245223	Dawn DuVurger	\N	\N	make_up_department,actress,script_department	tt13682026,tt10209920,tt12766978,tt21875582
nm0245304	Ann Dvorak	1911	1979	actress,soundtrack,miscellaneous	tt0026393,tt0028695,tt0023427,tt0023590
nm0246705	Paty Díaz	1976	\N	actress	tt0391683,tt0211878,tt0213342,tt1275297
nm0246818	Jozef Dóczy	1929	2013	actor	tt0239994,tt0243213,tt0256543,tt0244146
nm0246994	Sheila E.	1957	\N	music_department,soundtrack,actress	tt0770828,tt1502397,tt2975590,tt0098987
nm0249509	Noel Edmonds	1948	\N	writer,actor,soundtrack	tt0495250,tt1965057,tt0101155
nm0251041	Michael Egizi	\N	\N	composer,music_department,soundtrack	tt0435721,tt0230831,tt0247094,tt0430836
nm0251681	Ryan Eigenmann	\N	\N	actor	tt0398198,tt0168817,tt0953313,tt5861134
nm0252426	Jakob Eklund	1962	\N	actor,miscellaneous	tt0120189,tt0198837,tt0220623,tt0347457
nm0254088	Mike Elles	\N	\N	actor,soundtrack	tt0068190,tt0056751,tt0207885,tt0092452
nm0254884	James Ellis	1931	2014	actor,writer,soundtrack	tt0129723,tt0098874,tt0308129,tt0144728
nm0255033	Phyllis Ellis	\N	\N	actress,director,producer	tt4385462,tt19733646,tt0810356,tt1446404
nm0255371	Irving Elman	1915	2011	writer,producer,miscellaneous	tt0057784,tt0039284,tt0039787,tt0179249
nm0259587	Horacio Erman	\N	\N	actor,writer,art_director	tt0282323,tt0311371,tt0270169,tt0226715
nm0261794	Carla Estrada	\N	\N	producer,director,actress	tt5518674,tt0212642,tt7672132,tt1149354
nm0262374	Wesley Eure	1951	\N	actor,writer,music_department	tt0243061,tt0058796,tt0071005,tt0078924
nm0262529	Andrea Evans	1957	2023	actress,producer	tt0110399,tt0192917,tt0092325,tt0062595
nm0263368	Trevor Eve	1951	\N	actor,producer,soundtrack	tt0079073,tt0815236,tt0259733,tt0167872
