tconst	ordering	nconst	category	job	characters
tt0509122	4	nm0913095	actress	\N	"[""Phoebe Tyler Wallingford""]"
tt0509122	5	nm0110828	writer	head writer	\N
tt0509122	6	nm0566699	writer	\N	\N
tt0509122	7	nm1014206	writer	\N	\N
tt0509122	8	nm0997483	writer	\N	\N
tt0509122	9	nm0920345	writer	\N	\N
tt0608039	1	nm0117790	actor	\N	"[""Les""]"
tt0608039	2	nm0661911	actress	\N	"[""Crofter""]"
tt0608039	3	nm1115654	actor	\N	"[""Mikey"",""Climber""]"
tt0608039	4	nm1243910	director	\N	\N
tt0608039	5	nm0376157	writer	writer	\N
tt0608039	6	nm0452576	writer	writer	\N
tt0608039	7	nm2068729	producer	producer	\N
tt0608039	8	nm0768459	production_designer	\N	\N
tt0622749	1	nm0504064	actress	\N	\N
tt0622749	2	nm0628647	actor	\N	\N
tt0622749	3	nm0842122	actor	\N	\N
tt0622749	4	nm0184785	writer	play	\N
tt0622749	5	nm0613848	writer	play	\N
tt0646126	10	nm0083717	production_designer	\N	\N
tt0646126	1	nm0084327	actress	\N	"[""Jane Andrews Mancini""]"
tt0646126	2	nm0129248	actor	\N	"[""Dr. Michael Mancini""]"
tt0646126	3	nm0189220	actress	\N	"[""Dr. Kimberly Shaw Mancini""]"
tt0646126	4	nm0004900	actor	\N	"[""Kyle McBride""]"
tt0646126	5	nm0370942	director	\N	\N
tt0646126	6	nm0823015	writer	created by	\N
tt0646126	7	nm0035070	composer	\N	\N
tt0646126	8	nm0026134	cinematographer	\N	\N
tt0646126	9	nm0161085	editor	\N	\N
tt0648831	1	nm1042702	actor	\N	"[""The Doctor""]"
tt0648831	2	nm0199421	self	\N	"[""Self""]"
tt0648831	3	nm1686696	self	\N	"[""Self""]"
tt0648831	4	nm0761816	self	\N	"[""Self""]"
tt0662022	10	nm0567022	self	\N	"[""Self - Gotcha Recipient""]"
tt0662022	1	nm0249509	self	\N	"[""Self - Host""]"
tt0662022	2	nm0057368	actor	\N	"[""Gordon Brittas""]"
tt0662022	3	nm0085650	self	\N	"[""Self""]"
tt0662022	4	nm0086296	actor	\N	\N
tt0662022	5	nm2278263	writer	writer	\N
tt0662022	6	nm0141233	self	\N	"[""Self""]"
tt0662022	7	nm0390720	self	\N	"[""Self""]"
tt0662022	8	nm0444580	actress	\N	\N
tt0662022	9	nm1736422	actor	\N	"[""Mr. Blobby""]"
tt0669968	1	nm0662858	self	\N	"[""Self - Host""]"
tt0669968	2	nm0175262	self	\N	"[""Self - Guest""]"
tt0669968	3	nm0390320	self	\N	"[""Self""]"
tt0669968	4	nm0823297	self	\N	"[""Self""]"
tt0669968	5	nm0827298	self	\N	"[""Self""]"
tt0669968	6	nm0866870	self	\N	"[""Self""]"
tt0675413	1	nm0095368	actor	\N	\N
tt0675413	2	nm0204496	actor	\N	\N
tt0675413	3	nm0001375	actress	\N	\N
tt0675413	4	nm1544478	actress	\N	\N
tt0675413	5	nm0091575	director	\N	\N
tt0675413	6	nm0265535	writer	story	\N
tt0675413	7	nm0779923	actor	\N	\N
tt0684628	1	nm0159885	self	\N	"[""Self - Host""]"
tt0684628	2	nm0097079	self	\N	"[""Self""]"
tt0702652	1	nm0001077	actor	\N	"[""James Slattery""]"
tt0702652	2	nm0054253	actor	\N	"[""Stanley Conklin""]"
tt0702652	3	nm0115025	actress	\N	"[""Liz Andrews""]"
tt0702652	4	nm0709907	actor	\N	"[""Dr. Judd Holmes""]"
tt0702652	5	nm0608498	writer	creator	\N
tt0702652	6	nm0276102	writer	writer	\N
tt0702652	7	nm0255371	producer	producer	\N
tt0702652	8	nm0778656	actor	\N	"[""Hank Harrison""]"
tt0702652	9	nm0887696	actress	\N	"[""Barbara Harrison""]"
tt0750840	1	nm0271676	self	\N	"[""Self - Guest Panelist""]"
tt0751118	10	nm0023897	producer	producer	\N
tt0751118	1	nm0000141	actor	\N	"[""Fox Mulder""]"
tt0751118	2	nm0000096	actress	\N	"[""Dana Scully""]"
tt0751118	3	nm0001598	actor	\N	"[""John Doggett""]"
tt0751118	4	nm0494774	actor	\N	"[""Alex Krycek""]"
tt0751118	5	nm0543129	director	\N	\N
tt0751118	6	nm0004810	writer	created by	\N
tt0751118	7	nm0068272	writer	executive story editor	\N
tt0751118	8	nm0002932	writer	executive story editor	\N
tt0751118	9	nm0535348	writer	story editor	\N
tt0753457	10	nm0276128	actor	\N	"[""Sgt. Quilley""]"
tt0753457	1	nm1519441	actor	\N	"[""Mr. Adams""]"
tt0753457	2	nm0102291	actor	\N	"[""PC Robinson""]"
tt0753457	3	nm0254088	actor	\N	"[""Piers Viner""]"
tt0753457	4	nm0254884	actor	\N	"[""Insp. Lynch""]"
tt0753457	5	nm0086556	director	\N	\N
tt0753457	6	nm0048547	writer	writer	\N
tt0753457	7	nm0048836	writer	writer	\N
tt0753457	8	nm0334273	producer	producer	\N
tt0753457	9	nm0154930	production_designer	\N	\N
tt0857408	1	nm2703540	self	\N	"[""Self""]"
tt0857408	2	nm2376711	self	\N	"[""Self""]"
tt0857408	3	nm2375986	self	\N	"[""Self""]"
tt0857408	4	nm2155761	director	\N	\N
tt0857408	5	nm0220002	producer	producer	\N
tt0864567	10	nm0121141	actor	\N	"[""Andrej""]"
tt0864567	1	nm0381294	actress	\N	"[""Jana""]"
tt0864567	2	nm1021124	actor	\N	"[""Cem""]"
tt0864567	3	nm1021460	actress	\N	"[""Natascha""]"
tt0864567	4	nm1022908	actor	\N	"[""Fiete""]"
tt0864567	5	nm0936156	director	\N	\N
tt0864567	6	nm0718593	writer	writer	\N
tt0864567	7	nm0773936	composer	\N	\N
tt0864567	8	nm1021231	actress	\N	"[""Vivi""]"
tt0864567	9	nm0622652	actress	\N	"[""Ilze""]"
tt0923547	1	nm2216730	producer	producer	\N
tt0943661	1	nm3654861	actor	\N	"[""Sketch Characters""]"
tt0943661	2	nm2049613	self	\N	"[""Self""]"
tt0943661	3	nm0602131	self	\N	"[""Self""]"
tt0943661	4	nm2055127	self	\N	"[""Self""]"
tt0943661	5	nm2234456	self	\N	"[""Self""]"
tt0986966	10	nm2057312	actor	\N	"[""Lin Kojo""]"
tt0986966	1	nm1513684	actress	\N	"[""Ayako Matsuzaki""]"
tt0986966	2	nm1920556	actor	\N	"[""Kazuya Shibuya""]"
tt0986966	3	nm1931870	actress	\N	"[""Thanat""]"
tt0986966	4	nm0473873	actress	\N	"[""Mai Taniyama""]"
tt0986966	5	nm0753218	writer	adaptation	\N
tt0986966	6	nm0509523	actor	\N	"[""John Brown""]"
tt0986966	7	nm2002033	actress	\N	"[""Sachiyo""]"
tt0986966	8	nm3617620	actress	\N	"[""Masako Hara""]"
tt0986966	9	nm0831008	actor	\N	"[""Tojo""]"
tt0987349	10	nm0749799	actress	\N	\N
tt0987349	1	nm0445320	actress	\N	\N
tt0987349	2	nm0698429	actress	\N	\N
tt0987349	3	nm0873950	actress	\N	\N
tt0987349	4	nm0487911	actor	\N	\N
tt0987349	5	nm0785725	actor	\N	\N
tt0987349	6	nm0207010	actor	\N	\N
tt0987349	7	nm0034405	actress	\N	\N
tt0987349	8	nm0840836	actress	\N	\N
tt0987349	9	nm0484588	actress	\N	\N
tt0993578	1	nm0461498	self	\N	"[""Self - Guest""]"
tt0993578	2	nm0193041	self	\N	"[""Self - Substitute Co-Host""]"
tt0993578	3	nm0005126	self	\N	"[""Self - Co-Host""]"
tt0993578	4	nm0573093	self	\N	"[""Self""]"
tt0993578	5	nm0702732	producer	producer	\N
tt0993578	6	nm1293847	self	\N	"[""Self - Substitute News Anchor""]"
tt0993578	7	nm0737963	self	\N	"[""Self - Weather""]"
tt0993578	8	nm0874339	self	\N	"[""Self - Guest""]"
tt0993578	9	nm0896680	self	\N	"[""Self - Co-Hostess""]"
tt0996652	10	nm0098390	production_designer	\N	\N
tt0996652	1	nm0562561	actress	\N	"[""Wife""]"
tt0996652	2	nm0745828	actor	\N	"[""Visitor""]"
tt0996652	3	nm0214053	actor	\N	"[""Butler""]"
tt0996652	4	nm0473351	actor	\N	"[""Husband""]"
tt0996652	5	nm2262607	director	\N	\N
tt0996652	6	nm0613121	writer	"short story ""The Seven Cream Jugs"""	\N
tt0996652	7	nm2613674	producer	producer	\N
tt0996652	8	nm0720168	cinematographer	\N	\N
tt0996652	9	nm2479543	editor	\N	\N
tt10115708	1	nm1436204	actress	\N	"[""Bulle""]"
tt10115708	2	nm0846330	actor	\N	"[""Tiberius""]"
tt10115708	3	nm2954178	actor	\N	"[""Jean""]"
tt10115708	4	nm0156748	actor	\N	"[""Farine""]"
tt10115708	5	nm0914234	actor	\N	"[""WXT""]"
tt10115708	6	nm0144583	actress	\N	"[""Martha""]"
tt10125700	10	nm3654070	production_designer	\N	\N
tt10125700	1	nm5666957	actor	\N	"[""Thomaz Reis""]"
tt10125700	2	nm0263368	actor	\N	"[""J.P. Morgan""]"
tt10125700	3	nm4415419	actor	\N	"[""Kermit Roosevelt""]"
tt10125700	4	nm0000853	director	\N	\N
tt10125700	5	nm0152466	writer	\N	\N
tt10125700	6	nm6138875	producer	executive producer	\N
tt10125700	7	nm3074571	composer	\N	\N
tt10125700	8	nm1059000	cinematographer	\N	\N
tt10125700	9	nm0317503	editor	\N	\N
tt10126982	1	nm1452474	actress	\N	"[""Shim Chung-yi""]"
tt10126982	2	nm1030819	actor	\N	"[""Ma Poong-do""]"
tt10126982	3	nm1389976	actress	\N	"[""Yeo Ji-na""]"
tt10126982	4	nm3854097	actor	\N	"[""Baek Si-joon""]"
tt10228102	10	nm1213187	actress	\N	"[""Victoria Escalante""]"
tt10228102	1	nm1388124	actor	\N	"[""Ricardo Bustamante""]"
tt10228102	2	nm1101708	actor	\N	"[""Carlos Ibarra""]"
tt10228102	3	nm0868386	actor	\N	"[""Roberto Morelli""]"
tt10228102	4	nm0059639	actor	\N	"[""Gustavo Soto""]"
tt10228102	5	nm2292491	writer	screenplay	\N
tt10228102	6	nm5551411	writer	screenplay	\N
tt10228102	7	nm13639101	writer	screenplayer	\N
tt10228102	8	nm0379929	producer	producer	\N
tt10228102	9	nm0844633	producer	producer	\N
tt10301292	10	nm0734570	writer	created by	\N
tt10301292	1	nm2686231	actress	\N	"[""Maria Mercedes Alegre""]"
tt10301292	2	nm1382363	actor	\N	"[""Luis Sancuevas""]"
tt10301292	3	nm1831975	actor	\N	"[""Clavio Mondejar""]"
tt10301292	4	nm0602784	actress	\N	"[""Magnolia Alegre""]"
tt10301292	5	nm0747689	director	\N	\N
tt10301292	6	nm4765440	writer	written by	\N
tt10301292	7	nm0062879	writer	developed by	\N
tt10301292	8	nm2451422	writer	written by	\N
tt10301292	9	nm2627385	writer	written by	\N
tt10342826	10	nm9115586	writer	\N	\N
tt10342826	1	nm13649472	actor	\N	"[""Mohit""]"
tt10342826	2	nm4483393	actress	\N	"[""Sneha""]"
tt10342826	3	nm2412054	actress	\N	"[""Varsha Maheshwari""]"
tt10342826	4	nm5876095	actress	\N	"[""Akshara Naitik Singhania""]"
tt10342826	5	nm6908650	director	\N	\N
tt10342826	6	nm5203198	writer	\N	\N
tt10342826	7	nm7006227	writer	\N	\N
tt10342826	8	nm6908651	writer	\N	\N
tt10342826	9	nm9115585	writer	\N	\N
tt1039167	10	nm1821157	actor	\N	"[""Jake Malone""]"
tt1039167	1	nm2669710	actor	\N	"[""Charlie Johnson"",""Charlie""]"
tt1039167	2	nm1583979	actor	\N	"[""Baggy Awolowo"",""Baggy Awolu""]"
tt1039167	3	nm2533591	actor	\N	"[""Sam Barclay""]"
tt1039167	4	nm2372110	actress	\N	"[""Vicky Bird""]"
tt1039167	5	nm1776857	writer	creator	\N
tt1039167	6	nm2675271	actress	\N	"[""Shelley Mullins""]"
tt1039167	7	nm2090855	actor	\N	"[""Aidan Robinson"",""Aidan""]"
tt1039167	8	nm2690258	actor	\N	"[""Adam Stockton""]"
tt1039167	9	nm2670284	actor	\N	"[""Kyle Malone""]"
tt10479966	10	nm0839917	writer	head writer	\N
tt10479966	1	nm0020693	actress	\N	"[""Doreen Jackson""]"
tt10479966	2	nm0112207	actor	\N	"[""Eric Royal""]"
tt10479966	3	nm0280109	actor	\N	"[""Martin Jackson""]"
tt10479966	4	nm0316520	actress	\N	"[""Jessica Gardner #2""]"
tt10479966	5	nm0605600	director	\N	\N
tt10479966	6	nm0071926	writer	writer	\N
tt10479966	7	nm0366035	writer	writer	\N
tt10479966	8	nm0556789	writer	writer	\N
tt10479966	9	nm1025086	writer	co-head writer	\N
tt10483282	10	nm10842913	writer	english script	\N
tt10483282	1	nm3514770	actress	\N	"[""Niina Sugawara""]"
tt10483282	2	nm9533350	actress	\N	"[""Kazusa Onodera""]"
tt10483282	3	nm3961240	actress	\N	"[""Hitoha Hongou""]"
tt10483282	4	nm4860037	actress	\N	"[""Rika Sonezaki""]"
tt10483282	5	nm1622836	director	\N	\N
tt10483282	6	nm3578526	director	\N	\N
tt10483282	7	nm8020018	director	\N	\N
tt10483282	8	nm1482825	writer	english script	\N
tt10483282	9	nm2584046	writer	manga	\N
tt10515310	10	nm4524560	self	\N	"[""Self - Host (2018)""]"
tt10515310	1	nm1117631	self	\N	"[""Self - Host""]"
tt10515310	2	nm0025754	self	\N	"[""Self - Host""]"
tt10515310	3	nm2628082	self	\N	"[""Self - Host""]"
tt10515310	4	nm1912718	self	\N	"[""Self""]"
tt10515310	5	nm10777803	writer	writer	\N
tt10515310	6	nm2336044	writer	writer	\N
tt10515310	7	nm4456900	writer	additional material	\N
tt10515310	8	nm4998488	producer	producer	\N
tt10515310	9	nm1575524	self	\N	"[""Self - Host""]"
tt10577850	10	nm1908298	actor	\N	\N
tt10577850	1	nm2182713	actress	\N	\N
tt10577850	2	nm0044729	actor	\N	\N
tt10577850	3	nm2224425	actor	\N	\N
tt10577850	4	nm2205640	actor	\N	\N
tt10577850	5	nm2459341	actor	\N	\N
tt10577850	6	nm0315536	actress	\N	\N
tt10577850	7	nm0315574	actor	\N	\N
tt10577850	8	nm2239736	actor	\N	\N
tt10577850	9	nm0373878	actor	\N	\N
tt1066834	1	nm5932170	actress	\N	"[""Ink""]"
tt1071407	10	nm0363570	actor	\N	"[""Thorne Forrester""]"
tt1071407	1	nm0128942	actor	\N	"[""C.J. Garrison""]"
tt1071407	2	nm0174768	actress	\N	"[""Sally Spectra""]"
tt1071407	3	nm0262529	actress	\N	"[""Tawny Moore""]"
tt1071407	4	nm0291785	actress	\N	"[""Ambrosia Moore Forrester""]"
tt1071407	5	nm0068074	writer	head writer	\N
tt1071407	6	nm0808801	writer	associate head writer	\N
tt1071407	7	nm0068347	writer	co-creator	\N
tt1071407	8	nm0068589	writer	co-creator	\N
tt1071407	9	nm0446334	producer	producer	\N
tt10758300	1	nm8780177	self	\N	"[""Self - Host""]"
tt10873060	1	nm11152807	actress	\N	"[""Lomi""]"
tt10873060	2	nm5090026	actor	\N	\N
tt10873060	3	nm14984036	actor	\N	"[""Jawan raichand""]"
tt10873060	4	nm9916221	actress	\N	\N
tt10873060	5	nm8706928	director	\N	\N
tt10873060	6	nm5156036	writer	\N	\N
tt10873060	7	nm2255484	producer	producer	\N
tt10940626	1	nm3096553	self	\N	"[""Self""]"
tt10940626	2	nm2382589	self	\N	"[""Self - Host""]"
tt10940626	3	nm10959708	self	\N	"[""Self""]"
tt10940626	4	nm6149848	self	\N	"[""Self - Host""]"
tt10940626	5	nm6658915	self	\N	"[""Self""]"
tt10940626	6	nm10977247	self	\N	"[""Self""]"
tt1095204	1	nm0559564	director	\N	\N
tt1095204	2	nm0950630	composer	\N	\N
tt10973000	1	nm0368990	actress	\N	\N
tt10973000	2	nm2588610	actress	\N	\N
tt10973000	3	nm7809044	director	\N	\N
tt10973000	4	nm10927214	writer	\N	\N
tt10973000	5	nm2238325	composer	\N	\N
tt11092996	10	nm1509740	writer	writer	\N
tt11092996	1	nm0590293	actress	\N	"[""Julia Ponce""]"
tt11092996	2	nm0023754	actor	\N	"[""Santiago Blasco""]"
tt11092996	3	nm0299929	actress	\N	"[""Maika Bernal""]"
tt11092996	4	nm0622951	actor	\N	"[""Ernesto""]"
tt11092996	5	nm0487948	director	\N	\N
tt11092996	6	nm0022674	writer	writer	\N
tt11092996	7	nm0264977	writer	writer	\N
